route,page_type,topic,primary_element_count,dominant_action,clear_next_step,done_state_clear,cognitive_load_rating,notes
/,home,,11,Start P3,false,true,OVERWHELMING,Above 7 primary elements; counted 11. Next action is not singular from visible calls to action. Dashboard-like rather than narrow-path.
/about,about,,7,Start P3,true,true,MODERATE,Dashboard-like rather than narrow-path.
/p1,course-status,,3,P1: Pure Mathematics 1,false,true,LOW,Next action is not singular from visible calls to action.
/p3,p3-home,,14,UNSURE Take the diagnostic Fixed local check for P1 fluency and early P3 readiness.,false,true,OVERWHELMING,Above 7 primary elements; counted 14. Next action is not singular from visible calls to action. Dashboard-like rather than narrow-path. 15 visible action controls compete for attention.
/m1,course-status,,3,M1: Mechanics 1,false,true,LOW,Next action is not singular from visible calls to action.
/s1,course-status,,3,S1: Probability & Statistics 1,false,true,LOW,Next action is not singular from visible calls to action.
/p3/diagnostic,diagnostic,,11,Complete diagnostic questions and submit classification,true,true,HIGH,Above 7 primary elements; counted 11. Dashboard-like rather than narrow-path. 8 visible action controls compete for attention.
/p3/repair-lane,repair-lane,,11,Complete foundation repair modules,false,true,OVERWHELMING,Above 7 primary elements; counted 11. Next action is not singular from visible calls to action. Dashboard-like rather than narrow-path.
/p3/topics,p3-topic-path,,12,Take P3 diagnostic,false,true,OVERWHELMING,Above 7 primary elements; counted 12. Next action is not singular from visible calls to action. Dashboard-like rather than narrow-path. 13 visible action controls compete for attention.
/p3/need-to-know,need-to-know,,52,Back to P3 topics,false,true,OVERWHELMING,Above 7 primary elements; counted 52. Next action is not singular from visible calls to action. Dashboard-like rather than narrow-path. 114 visible action controls compete for attention.
/p3/review,review,,4,Continue incomplete units before mixed review,false,true,LOW,Next action is not singular from visible calls to action. 14 visible action controls compete for attention.
/p3/topics/algebra/learn,learn,algebra,7,Answer the current Learn prompt,true,true,MODERATE,8 visible action controls compete for attention.
/p3/topics/algebra/field-guide,field-guide,algebra,4,Start Learn,false,true,LOW,Next action is not singular from visible calls to action.
/p3/topics/algebra/skill-check,skill-check,algebra,4,Continue to Learn,true,true,LOW,
/p3/topics/algebra/exam-training,exam-training,algebra,6,"Attempt current exam question, then self-mark",true,true,MODERATE,8 visible action controls compete for attention.
/p3/topics/algebra/worksheet,worksheet,algebra,27,Print / Save PDF,true,true,OVERWHELMING,Above 7 primary elements; counted 27. Dashboard-like rather than narrow-path.
/p3/topics/logarithmic-and-exponential-functions/learn,learn,logarithmic-and-exponential-functions,7,Answer the current Learn prompt,true,true,MODERATE,8 visible action controls compete for attention.
/p3/topics/logarithmic-and-exponential-functions/field-guide,field-guide,logarithmic-and-exponential-functions,4,Start Learn,false,true,LOW,Next action is not singular from visible calls to action.
/p3/topics/logarithmic-and-exponential-functions/skill-check,skill-check,logarithmic-and-exponential-functions,4,Continue to Learn,true,true,LOW,
/p3/topics/logarithmic-and-exponential-functions/exam-training,exam-training,logarithmic-and-exponential-functions,7,"Attempt current exam question, then self-mark",true,true,MODERATE,8 visible action controls compete for attention.
/p3/topics/logarithmic-and-exponential-functions/worksheet,worksheet,logarithmic-and-exponential-functions,23,Print / Save PDF,true,true,OVERWHELMING,Above 7 primary elements; counted 23. Dashboard-like rather than narrow-path.
